,acousticness,artists,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,valence,year
7666,0.741,Chuck Berry,0.534,161560,0.8029999999999999,0,6.07e-05,10,0.307,-9.129,1,Johnny B. Goode,75,0.0743,167.983,0.969,1959
7665,0.8029999999999999,Marty Robbins,0.726,235733,0.474,0,0.0,1,0.258,-7.834,0,Big Iron,68,0.0491,116.027,0.57,1959
7664,0.919,Dean Martin,0.478,135760,0.201,0,0.0,7,0.0854,-16.768,1,Rudolph The Red-Nosed Reindeer,75,0.0332,136.471,0.857,1959
7663,0.882,Dean Martin,0.469,143733,0.196,0,0.0,0,0.0513,-16.093,1,"Baby, It's Cold Outside",72,0.0571,130.036,0.537,1959
7662,0.912,Dean Martin,0.451,117147,0.24,0,2.45e-06,1,0.175,-14.014,1,Let It Snow! Let It Snow! Let It Snow!,84,0.0351,134.009,0.701,1959
7862,0.764,Ella Fitzgerald,0.508,175987,0.287,0,0.0,1,0.153,-12.472,1,Sleigh Ride,74,0.0523,154.759,0.644,1960
7863,0.733,Ella Fitzgerald,0.579,131733,0.502,0,0.0,8,0.281,-7.57,1,Frosty The Snowman,74,0.0513,76.816,0.836,1960
7864,0.547,Etta James,0.2739999999999999,179693,0.348,0,0.0133,5,0.3339999999999999,-8.631,1,At Last,75,0.0293,87.43,0.3279999999999999,1960
7865,0.8290000000000001,Etta James,0.421,196133,0.285,0,1.55e-06,2,0.233,-9.43,0,A Sunday Kind Of Love,70,0.0293,85.861,0.402,1960
8062,0.941,Elvis Presley,0.396,182360,0.293,0,0.000196,2,0.105,-14.062,1,Can't Help Falling in Love,77,0.0275,100.307,0.3429999999999999,1961
8262,0.92,Nat King Cole,0.319,192160,0.21,0,8.06e-05,1,0.138,-15.231,1,The Christmas Song (Merry Christmas To You),81,0.0341,78.696,0.209,1962
8263,0.818,Nat King Cole,0.5529999999999999,84987,0.337,0,0.0,10,0.113,-10.334,1,Joy To The World,77,0.03,101.918,0.662,1962
8264,0.753,Nat King Cole,0.499,103747,0.456,0,0.0,0,0.861,-11.528,1,The Happiest Christmas Tree,68,0.4,205.882,0.94,1962
8265,0.57,Ben E. King,0.65,180056,0.306,0,7.07e-06,9,0.0707,-9.443,1,Stand by Me,77,0.0393,118.068,0.605,1962
8266,0.81,Nat King Cole,0.252,180200,0.231,0,0.000167,3,0.1989999999999999,-14.181,1,O Tannenbaum,68,0.0369,89.859,0.196,1962
8267,0.4529999999999999,Frank Sinatra,0.6679999999999999,147000,0.26,0,0.0,7,0.0621,-14.255999999999998,1,Fly Me To The Moon (In Other Words),73,0.0523,119.416,0.368,1962
8267,0.4529999999999999,Count Basie,0.6679999999999999,147000,0.26,0,0.0,7,0.0621,-14.255999999999998,1,Fly Me To The Moon (In Other Words),73,0.0523,119.416,0.368,1962
8268,0.742,Nat King Cole,0.684,68760,0.4370000000000001,0,1.58e-05,9,0.2239999999999999,-10.522,1,Deck The Hall,69,0.0491,107.607,0.964,1962
8269,0.715,Roy Orbison,0.619,178933,0.603,0,0.0,9,0.0721,-9.481,1,"Oh, Pretty Woman",73,0.0342,127.432,0.958,1962
8462,0.7659999999999999,Andy Williams,0.24,151933,0.598,0,0.0,7,0.1169999999999999,-8.435,1,It's the Most Wonderful Time of the Year,85,0.0369,201.629,0.7759999999999999,1963
8463,0.4029999999999999,The Ronettes,0.529,181267,0.772,0,2.21e-06,2,0.316,-7.013,1,Sleigh Ride,82,0.0287,91.751,0.853,1963
8464,0.395,Darlene Love,0.325,166453,0.759,0,0.000362,8,0.0773,-7.146,1,Christmas (Baby Please Come Home),75,0.053,126.627,0.36,1963
