,acousticness,artists,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,valence,year
7065,0.885,Harry Belafonte,0.797,183133,0.105,0,0.0001159999999999,1,0.108,-16.881,1,Banana Boat (Day-O),62,0.0969,122.545,0.419,1956
7066,0.982,Billie Holiday,0.639,207827,0.2689999999999999,0,0.12,8,0.141,-11.435,1,Blue Moon,63,0.0698,124.866,0.539,1956
7068,0.922,Chet Baker,0.442,179640,0.033,0,0.000171,10,0.151,-23.063,1,I Get Along Without You Very Well (Except Sometimes) - Vocal Version,60,0.0409999999999999,103.34,0.21,1956
7069,0.923,Chet Baker,0.499,215467,0.0341,0,5.27e-05,8,0.131,-22.31,1,It's Always You - Vocal Version,61,0.0417,81.735,0.31,1956
7070,0.941,Chet Baker,0.4379999999999999,141133,0.0075599999999999,0,0.00643,0,0.109,-26.44,0,My Funny Valentine,62,0.0382,133.32,0.2769999999999999,1956
7073,0.654,Elvis Presley,0.557,119200,0.66,0,1.66e-06,2,0.138,-7.706,1,Blue Suede Shoes,61,0.0559999999999999,95.252,0.962,1956
7275,0.932,Frank Sinatra,0.286,190093,0.102,0,0.0001139999999999,9,0.12,-15.995,1,I'll Be Home For Christmas (If Only In My Dreams) - Remastered 1999,62,0.0323,81.76,0.106,1957
7277,0.7929999999999999,Little Richard,0.555,144227,0.6579999999999999,0,0.0,5,0.118,-3.866,1,Tutti Frutti,64,0.0541,184.835,0.937,1957
7279,0.755,Little Richard,0.474,127427,0.608,0,0.0,5,0.0928,-5.138999999999999,1,Long Tall Sally (The Thing),62,0.0825,184.694,0.888,1957
7280,0.515,Frank Sinatra,0.551,194307,0.144,0,0.0,8,0.187,-13.883,0,The Lady Is A Tramp - Remastered,61,0.0392,128.122,0.648,1957
7282,0.989,Billie Holiday,0.313,192867,0.0437,0,0.148,6,0.209,-22.627,1,Strange Fruit,61,0.0315,100.827,0.0625,1957
7283,0.6759999999999999,Nat King Cole,0.154,190773,0.215,0,0.00146,1,0.1119999999999999,-15.413,1,When I Fall In Love,61,0.0346,166.209,0.115,1957
7274,0.833,Ray Charles,0.556,171467,0.61,0,2.22e-06,9,0.258,-4.729,1,I've Got a Woman,66,0.213,199.373,0.665,1957
7290,0.873,Red Garland,0.561,290293,0.346,0,0.3989999999999999,0,0.104,-12.595999999999998,0,Almost Like Being In Love,60,0.0409,93.689,0.6970000000000001,1957
7290,0.873,Paul Chambers,0.561,290293,0.346,0,0.3989999999999999,0,0.104,-12.595999999999998,0,Almost Like Being In Love,60,0.0409,93.689,0.6970000000000001,1957
7290,0.873,Art Taylor,0.561,290293,0.346,0,0.3989999999999999,0,0.104,-12.595999999999998,0,Almost Like Being In Love,60,0.0409,93.689,0.6970000000000001,1957
7286,0.792,Ray Charles,0.696,155507,0.547,0,0.0,5,0.155,-5.954,0,"Hallelujah, I Love Her So",63,0.1689999999999999,73.203,0.623,1957
7273,0.882,Frank Sinatra,0.26,141040,0.188,0,0.0,5,0.1159999999999999,-13.117,1,Hark! The Herald Angels Sing - Remastered,64,0.0301,86.087,0.238,1957
7271,0.989,Billie Holiday,0.355,211533,0.0304,0,0.0555,1,0.1159999999999999,-20.479,1,I'll Be Seeing You,65,0.0361,90.495,0.188,1957
7272,0.727,Frank Sinatra,0.512,120693,0.3389999999999999,0,0.0,8,0.0977,-13.119000000000002,1,Jingle Bells - Remastered 1999,69,0.0498,174.609,0.951,1957
7262,0.643,Bobby Helms,0.754,130973,0.424,0,0.0,2,0.0652,-8.463,1,Jingle Bell Rock,85,0.0363,119.705,0.8059999999999999,1957
7263,0.9,Elvis Presley,0.465,129173,0.27,0,0.00104,4,0.145,-16.660999999999998,1,Blue Christmas,79,0.0425,94.518,0.58,1957
7264,0.956,Frank Sinatra,0.176,161373,0.153,0,0.0001199999999999,0,0.158,-15.969,1,The First Noel - Remastered 1999,71,0.0365,84.741,0.157,1957
7265,0.804,Frank Sinatra,0.607,136427,0.103,0,0.0,9,0.076,-14.405,1,Mistletoe And Holly - Remastered 1999,72,0.0404,110.378,0.341,1957
7266,0.968,Elvis Presley,0.575,115827,0.236,0,0.0178,2,0.105,-16.982,1,Here Comes Santa Claus (Right Down Santa Claus Lane),71,0.0422,79.57600000000002,0.8290000000000001,1957
7267,0.984,Elvis Presley,0.325,155493,0.0409,0,0.000585,2,0.109,-19.102,1,O Little Town of Bethlehem,68,0.0359,99.286,0.212,1957
7268,0.913,Ella Fitzgerald,0.4429999999999999,185160,0.104,0,0.0,0,0.191,-17.042,1,Dream A Little Dream Of Me - Single Version,73,0.1009999999999999,76.497,0.3939999999999999,1957
7268,0.913,Louis Armstrong,0.4429999999999999,185160,0.104,0,0.0,0,0.191,-17.042,1,Dream A Little Dream Of Me - Single Version,73,0.1009999999999999,76.497,0.3939999999999999,1957
7269,0.913,Frank Sinatra,0.262,206600,0.1369999999999999,0,6.74e-06,8,0.267,-15.235,1,Have Yourself A Merry Little Christmas - Remastered,70,0.0344,92.183,0.288,1957
7270,0.452,Louis Prima,0.515,141667,0.408,0,0.0,8,0.0682,-11.96,1,Pennies From Heaven,65,0.1939999999999999,185.767,0.915,1957
7270,0.452,Sam Butera & The Witnesses,0.515,141667,0.408,0,0.0,8,0.0682,-11.96,1,Pennies From Heaven,65,0.1939999999999999,185.767,0.915,1957
7300,0.96,Elvis Presley,0.2689999999999999,145000,0.0314,0,0.0678,10,0.113,-23.411,1,Silent Night,61,0.0351,135.49,0.176,1957
7476,0.84,Elvis Presley,0.696,127560,0.21,0,1.62e-06,4,0.107,-11.922,1,Heartbreak Hotel,60,0.067,93.543,0.7170000000000001,1958
7474,0.8440000000000001,Howlin' Wolf,0.6609999999999999,188400,0.342,0,0.000128,9,0.26,-16.361,0,Smokestack Lightnin',61,0.043,146.118,0.588,1958
7472,0.8290000000000001,Nina Simone,0.746,215747,0.243,0,1.02e-06,4,0.0905,-15.134,0,My Baby Just Cares for Me - 2013 Remastered Version,69,0.123,118.578,0.425,1958
7470,0.947,Buddy Holly,0.6759999999999999,150960,0.424,0,0.000494,9,0.119,-8.132,1,Peggy Sue,61,0.0329,148.373,0.493,1958
7469,0.467,Buddy Holly,0.536,150133,0.637,0,0.0,2,0.0838,-7.774,1,That'll Be The Day,62,0.0343,115.24,0.7979999999999999,1958
7468,0.916,Louis Armstrong,0.172,298133,0.0696,0,0.00199,11,0.1369999999999999,-21.295,0,Summertime,66,0.0339,167.97400000000005,0.103,1958
